                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.96259,                 0.8821,                 1.1098,                0.75866,                 0.8027,                0.83931,                0.67031,                0.83921,                0.64751,                0.97934,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.91814,                0.82609,                 1.0732,                0.78917,                0.79999,                 0.8394,                0.66941,                0.83182,                0.64549,                0.97658,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.93968,                0.86714,                 1.1141,                0.80538,                0.78578,                0.84354,                0.67573,                0.82641,                0.63391,                 0.9746,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 0.9284,                  0.828,                 1.0898,                0.77804,                0.81151,                0.84283,                0.67872,                0.82569,                0.62545,                0.97381,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.92602,                0.82815,                 1.0879,                0.78281,                0.81192,                0.84719,                0.68733,                0.82339,                0.61873,                0.97169,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90009,                0.82255,                 1.0825,                 0.7915,                0.80952,                 0.8491,                0.69216,                0.81995,                0.61713,                0.96924,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.92125,                0.80604,                 1.0648,                0.78911,                0.81062,                0.84585,                0.68912,                0.81818,                0.61455,                0.96669,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.91876,                0.82758,                  1.068,                 0.8203,                 0.7973,                0.85699,                0.69302,                0.81174,                0.60869,                0.96427,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                 0.8978,                 0.7878,                 1.0611,                0.86021,                0.77753,                0.84922,                  0.692,                  0.807,                0.60758,                0.96237,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.86088,                0.77853,                 1.0461,                0.86639,                 0.7766,                0.84715,                0.69458,                0.80239,                0.60765,                0.96034,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.93086,                0.82025,                 1.0556,                0.86938,                0.77199,                 0.8492,                0.69567,                  0.797,                0.60694,                0.95737,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.88556,                0.80215,                 1.0651,                0.87657,                0.77324,                0.85076,                0.69889,                0.79367,                0.60249,                 0.9557,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.90952,                 0.7741,                 1.0459,                0.88787,                0.77033,                0.85366,                0.70063,                0.79174,                0.59693,                0.95478,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.88171,                0.77374,                 1.0628,                0.86429,                0.79161,                0.86391,                0.70239,                0.79001,                0.59274,                0.95349,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.88253,                0.78786,                 1.0589,                0.87111,                 0.7935,                0.86334,                0.70411,                0.78994,                0.59086,                0.95274,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.90662,                0.78414,                 1.0527,                0.88444,                 0.7865,                0.86479,                0.69899,                0.79222,                0.58612,                0.95274,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.91597,                0.80713,                   1.07,                 0.8299,                0.81087,                0.86363,                0.70261,                0.79242,                0.58477,                0.95279,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.85416,                0.73385,                 1.0438,                0.84396,                0.80578,                 0.8657,                0.70279,                0.79114,                 0.5855,                0.95239,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.91425,                0.76118,                 1.0602,                0.84613,                0.81317,                0.86768,                0.70459,                0.78939,                0.58363,                0.95088,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.87159,                0.75974,                 1.0577,                 0.8775,                0.79727,                0.86927,                0.70716,                0.78897,                0.58147,                 0.9504,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.87612,                0.74668,                 1.0355,                0.87694,                0.80345,                 0.8699,                0.70844,                0.78047,                0.57281,                0.94792,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.94409,                0.80749,                 1.0739,                 0.8844,                0.80701,                0.87368,                0.70987,                0.77641,                0.57127,                0.94668,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.87032,                0.74391,                 1.0435,                0.88329,                0.81258,                0.87421,                0.71288,                0.77113,                0.56578,                0.94548,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.87351,                0.74722,                 1.0525,                  0.876,                0.80874,                0.87105,                0.71359,                 0.7645,                0.56147,                0.94341,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                 0.8576,                0.74886,                 1.0632,                0.86204,                0.80937,                0.86909,                0.71556,                0.76005,                0.55577,                0.94128,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.87377,                0.71528,                 1.0421,                0.88678,                 0.7951,                0.86966,                0.71694,                0.75914,                0.55786,                0.94149,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                 0.8691,                0.73896,                 1.0418,                0.89358,                0.80585,                0.87504,                0.71725,                0.75575,                0.55736,                0.93956,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.89224,                0.76345,                  1.063,                0.89283,                0.80466,                0.87479,                0.71822,                0.75505,                0.55714,                0.93845,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.85015,                0.71866,                 1.0539,                0.87864,                   0.81,                0.87514,                0.71967,                0.75576,                0.55868,                0.93936,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.87209,                0.72473,                 1.0371,                0.86764,                0.81446,                0.88158,                0.72334,                0.75416,                0.55543,                0.93828,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.81965,                0.72003,                 1.0332,                 0.8762,                0.81188,                0.88127,                0.72192,                0.75083,                0.54936,                0.93633,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.86393,                0.74401,                 1.0398,                0.88198,                0.80786,                0.88191,                 0.7214,                0.74778,                0.54281,                0.93482,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.90486,                0.74634,                 1.0333,                0.89053,                0.80177,                0.88192,                0.71977,                0.74644,                0.53794,                0.93434,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.86786,                0.72591,                 1.0548,                0.89701,                0.80095,                0.88443,                0.72462,                0.74613,                0.53811,                0.93441,             4.3602e-05,             4.3602e-05,             4.3602e-05
