                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.94457,                0.83962,                 1.0757,                 0.8032,                0.79544,                0.84986,                0.66831,                0.83917,                0.64599,                0.97822,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.97716,                0.85444,                 1.0954,                0.87082,                0.77014,                0.85403,                0.67423,                 0.8356,                0.64306,                0.97579,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.96158,                0.88865,                 1.1042,                0.85649,                0.77844,                0.85423,                0.67451,                0.83057,                0.64338,                0.97358,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.94855,                0.82631,                 1.0904,                0.87172,                0.76501,                0.85372,                0.67729,                0.82406,                0.64887,                0.97158,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.88562,                0.78612,                 1.0727,                0.86916,                0.76802,                0.85612,                0.68397,                0.81932,                0.64359,                0.96916,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.89355,                0.78951,                 1.0656,                0.88204,                 0.7658,                0.85525,                 0.6829,                0.81686,                0.63367,                0.96601,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.94046,                0.83912,                 1.0801,                0.88803,                0.76698,                0.86054,                0.68962,                0.81345,                0.62499,                  0.963,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.93799,                 0.8025,                 1.0696,                0.88742,                0.76754,                0.86115,                0.69412,                0.80953,                0.61764,                0.96082,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.96676,                0.81463,                 1.0821,                0.88842,                 0.7728,                0.86493,                0.69578,                0.80495,                0.61416,                0.95973,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.86979,                0.76232,                 1.0468,                0.87049,                0.78269,                0.86499,                0.69572,                0.80333,                0.61198,                0.95876,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.90496,                 0.7855,                  1.057,                 0.8427,                0.80592,                0.86597,                0.69776,                0.80089,                0.60721,                0.95808,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.87956,                0.77476,                 1.0569,                0.85677,                0.79464,                0.86904,                0.70364,                0.79472,                 0.6014,                0.95631,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.91387,                0.80197,                 1.0624,                0.85688,                0.79393,                0.87062,                0.71031,                0.78868,                0.59655,                0.95355,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                 0.9233,                0.79446,                 1.0809,                0.86554,                0.79607,                0.87001,                0.70948,                0.78655,                0.59296,                0.95195,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.90964,                0.77899,                 1.0574,                0.86677,                0.79438,                0.87033,                0.71508,                0.78759,                0.59169,                0.95189,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.88576,                0.75254,                 1.0454,                0.87345,                0.80102,                0.87673,                0.71476,                0.78236,                0.59089,                 0.9499,             6.4807e-05,             6.4807e-05,             6.4807e-05
